SAMPLE_ID,ACACA,APOC1,CCL18,CCL19,CCND1,CD163,EIF4B,FASN,FOLR2,FOXO3,HIF1A,IDO1,IGF1R,INSR,IRS2,LAMP3,LGMN,MRC1,MS4A4A,MYC,PIK3R1,PRKAB1,RBPJ,RPS6,SLC22A1,SLC22A3,SLC47A1,TREM2,TSC2,ULK1
4bc2d3ea-1611-4fc3-85ee-5b06c4,3030.0,217.0,21.0,1.0,524.0,1173.0,13409.0,1216.0,150.0,1863.0,2853.0,1394.0,321.0,576.0,319.0,402.0,1947.0,288.0,207.0,1403.0,1675.0,924.0,1427.0,57226.0,2.0,21.0,16.0,184.0,930.0,264.0
4ccb249a-6722-491e-97e9-e3b4e7,1728.0,389.0,16.0,238.0,1516.0,338.0,5141.0,4083.0,101.0,2580.0,1923.0,183.0,1621.0,1001.0,437.0,407.0,2395.0,128.0,133.0,731.0,1007.0,1094.0,2138.0,17446.0,15.0,78.0,53.0,175.0,3996.0,2382.0
50997c44-1c8b-4d34-b535-4a6cc2,1056.0,264.0,32.0,6.0,7296.0,1293.0,14560.0,1179.0,145.0,2382.0,3268.0,166.0,1954.0,1096.0,1094.0,233.0,1825.0,278.0,254.0,1674.0,1202.0,708.0,2471.0,36582.0,14.0,11.0,24.0,240.0,2020.0,1482.0
51c1c79e-5a8e-4b0a-bf92-1c0cab,2178.0,56.0,14.0,1.0,1861.0,540.0,13626.0,1775.0,102.0,3492.0,2350.0,25.0,4079.0,896.0,1843.0,35.0,1460.0,404.0,102.0,443.0,832.0,907.0,3209.0,36913.0,10.0,43.0,89.0,21.0,3124.0,794.0
52c064a7-78d9-4a1a-85b4-27c6d1,922.0,474.0,9.0,24.0,797.0,1578.0,10358.0,914.0,286.0,1840.0,6001.0,251.0,530.0,515.0,173.0,387.0,1674.0,716.0,280.0,880.0,12609.0,579.0,2874.0,53152.0,6.0,54.0,26.0,279.0,1667.0,926.0
558333b0-ea23-4303-9e3c-4932b1,959.0,89.0,1.0,5.0,2860.0,1120.0,9749.0,1682.0,218.0,3037.0,2446.0,238.0,995.0,1913.0,625.0,992.0,1338.0,485.0,207.0,836.0,1178.0,648.0,2971.0,28527.0,3.0,12.0,18.0,108.0,1325.0,1193.0
5b5c81b1-4e73-48d3-9469-108edd,440.0,575.0,49.0,3.0,14611.0,610.0,10947.0,241.0,148.0,291.0,2299.0,875.0,380.0,227.0,64.0,264.0,1571.0,130.0,498.0,1705.0,802.0,214.0,1741.0,73632.0,3.0,9.0,33.0,436.0,213.0,76.0
5ea22f5e-307b-491d-801f-8b7fa6,1462.0,126.0,38.0,4.0,11762.0,766.0,14453.0,1056.0,281.0,1746.0,5659.0,18.0,1744.0,1284.0,616.0,48.0,1033.0,413.0,248.0,1343.0,5140.0,1037.0,2535.0,41740.0,17.0,24.0,581.0,129.0,2658.0,554.0
627e6e36-3dca-4ee5-9755-6f3510,1507.0,303.0,72.0,25.0,3241.0,1113.0,21693.0,1310.0,277.0,2453.0,12023.0,491.0,1732.0,403.0,511.0,42.0,2082.0,639.0,315.0,853.0,5656.0,1221.0,3207.0,60488.0,7.0,4.0,3226.0,574.0,658.0,315.0
62f5840e-6cd7-4200-b651-645e53,508.0,685.0,413.0,487.0,5163.0,2281.0,15103.0,632.0,383.0,786.0,3685.0,479.0,408.0,261.0,300.0,101.0,1771.0,700.0,1021.0,2478.0,932.0,447.0,3149.0,78839.0,5.0,150.0,28.0,677.0,306.0,179.0
6319b36b-533c-4e86-8e12-80552e,948.0,213.0,18.0,0.0,921.0,1814.0,6911.0,1289.0,391.0,1517.0,3340.0,68.0,4009.0,1396.0,1794.0,36.0,2055.0,636.0,356.0,1265.0,1395.0,671.0,2602.0,29341.0,6.0,6.0,74.0,196.0,1304.0,2563.0
6530147a-efe9-4df6-ac2f-03ece3,1614.0,132.0,64.0,839.0,4269.0,1216.0,10120.0,3291.0,364.0,2386.0,3621.0,106.0,2606.0,1210.0,1460.0,180.0,1912.0,685.0,370.0,1700.0,3527.0,787.0,3359.0,38772.0,9.0,49.0,100.0,204.0,1473.0,1096.0
665f4f0f-130c-4b09-9762-cd0696,715.0,2356.0,83.0,359.0,226.0,1377.0,13307.0,128.0,181.0,1075.0,6034.0,5981.0,32.0,207.0,249.0,103.0,1627.0,372.0,1290.0,1019.0,3650.0,267.0,2239.0,69137.0,0.0,16.0,11.0,2332.0,76.0,46.0
69d552be-7cb2-4bb4-b602-a27b3e,1439.0,596.0,45.0,192.0,998.0,3097.0,8189.0,1629.0,428.0,1808.0,9166.0,306.0,640.0,913.0,715.0,512.0,3362.0,505.0,487.0,1228.0,2656.0,407.0,3335.0,20490.0,4.0,165.0,53.0,586.0,1248.0,580.0
6c9a5bdc-0f0e-4cc8-aec5-63091c,908.0,431.0,5.0,3.0,1293.0,1096.0,16335.0,610.0,254.0,1206.0,3269.0,52.0,607.0,1194.0,126.0,53.0,1881.0,454.0,477.0,5907.0,654.0,1198.0,1026.0,105658.0,5.0,19.0,9.0,929.0,313.0,261.0
7069e990-4a4e-4984-a66d-4d835a,657.0,898.0,158.0,149.0,163.0,552.0,8235.0,348.0,21.0,935.0,3352.0,4263.0,381.0,1311.0,185.0,874.0,1190.0,86.0,161.0,114.0,2762.0,188.0,1438.0,48051.0,5.0,2.0,11.0,386.0,153.0,111.0
74a45e5a-a35a-4c60-a4b4-f3f5ea,1354.0,186.0,12.0,1.0,1103.0,200.0,3100.0,993.0,27.0,974.0,3581.0,96.0,1732.0,1015.0,253.0,176.0,1680.0,36.0,47.0,1779.0,1775.0,311.0,2243.0,27794.0,12.0,25.0,25.0,62.0,579.0,349.0
76e77c6b-c80e-4391-bdbb-e1dcea,1380.0,256.0,84.0,230.0,1105.0,1227.0,4884.0,2305.0,169.0,1983.0,5477.0,5325.0,1280.0,528.0,598.0,369.0,1785.0,329.0,437.0,1408.0,1463.0,362.0,3618.0,33202.0,8.0,67.0,26.0,440.0,674.0,560.0
79b60f32-6cca-4cb6-9a1e-22a3ac,1248.0,483.0,272.0,944.0,1247.0,1321.0,10720.0,308.0,155.0,1142.0,3826.0,422.0,395.0,483.0,799.0,321.0,1965.0,214.0,562.0,683.0,1011.0,868.0,2930.0,47887.0,3.0,22.0,19.0,276.0,293.0,276.0
7c2aeacf-a30d-4104-b60a-7545ee,1519.0,1400.0,388.0,2354.0,209.0,154.0,38425.0,227.0,579.0,480.0,4380.0,140.0,38.0,53.0,20.0,883.0,743.0,36.0,455.0,4192.0,1629.0,1271.0,1652.0,131339.0,1.0,197.0,65.0,50.0,393.0,136.0
