SAMPLE_ID,ACACA,APOC1,CCL18,CCL19,CCND1,CD163,EIF4B,FASN,FOLR2,FOXO3,HIF1A,IDO1,IGF1R,INSR,IRS2,LAMP3,LGMN,MRC1,MS4A4A,MYC,PIK3R1,PRKAB1,RBPJ,RPS6,SLC22A1,SLC22A3,SLC47A1,TREM2,TSC2,ULK1
ad5c848c-ae26-42c8-874e-387a09,969.0,1385.0,33.0,9.0,766.0,3535.0,8630.0,2781.0,312.0,2757.0,4078.0,595.0,248.0,602.0,501.0,347.0,3987.0,600.0,700.0,1372.0,787.0,597.0,1876.0,39682.0,1.0,22.0,37.0,461.0,1721.0,713.0
af95e2c6-25c4-4ab8-bf06-3e15ff,998.0,326.0,34.0,2.0,4632.0,1739.0,15506.0,954.0,286.0,1051.0,6070.0,237.0,1766.0,1293.0,187.0,216.0,1638.0,408.0,312.0,878.0,2183.0,1042.0,2096.0,55098.0,7.0,4.0,33.0,172.0,914.0,722.0
bd266bdd-12e4-42cb-9c49-911bfc,773.0,387.0,154.0,92.0,2846.0,1367.0,4164.0,1275.0,167.0,2868.0,2925.0,1806.0,1461.0,2592.0,2125.0,208.0,1565.0,182.0,285.0,1274.0,970.0,923.0,4075.0,34085.0,8.0,48.0,23.0,228.0,3461.0,464.0
c17b0ff9-9057-4848-a0cc-abb25f,1047.0,678.0,28.0,1.0,1394.0,392.0,6449.0,1009.0,47.0,1833.0,1813.0,1107.0,117.0,506.0,163.0,671.0,2543.0,62.0,63.0,861.0,902.0,511.0,1088.0,18572.0,1.0,7.0,24.0,154.0,2521.0,373.0
ce1e5dfc-2ef1-4633-af93-5ea4d9,2034.0,683.0,28.0,48.0,321.0,1214.0,9765.0,351.0,194.0,891.0,8336.0,44.0,188.0,453.0,118.0,36.0,2670.0,267.0,369.0,1361.0,3000.0,800.0,1424.0,31903.0,12.0,118.0,36.0,918.0,553.0,308.0
cfb8cb2c-53c6-40d7-8069-a1a804,361.0,1916.0,75.0,213.0,1549.0,851.0,8350.0,213.0,171.0,636.0,2069.0,8860.0,694.0,458.0,143.0,136.0,2287.0,237.0,779.0,2511.0,1041.0,430.0,918.0,52809.0,4.0,56.0,51.0,1268.0,129.0,187.0
cfd76f9a-ce60-4ec7-8e6b-a8fc31,2094.0,50.0,15.0,4.0,3938.0,267.0,7437.0,2312.0,78.0,1896.0,3177.0,93.0,5260.0,4591.0,918.0,168.0,1071.0,188.0,94.0,205.0,461.0,1063.0,3468.0,37402.0,4.0,18.0,33.0,11.0,4585.0,1694.0
d109a3c0-350e-47f5-bda0-61899c,1215.0,894.0,364.0,229.0,1582.0,1360.0,8882.0,425.0,120.0,1356.0,5553.0,137.0,670.0,946.0,1020.0,187.0,3109.0,189.0,388.0,573.0,1094.0,685.0,3141.0,35445.0,5.0,56.0,38.0,606.0,597.0,463.0
d38f40fb-dd78-43b2-8b7b-4b6977,1490.0,519.0,1941.0,147.0,732.0,3638.0,10831.0,2192.0,424.0,4787.0,6353.0,1061.0,386.0,873.0,649.0,164.0,1887.0,370.0,469.0,2031.0,1737.0,719.0,4899.0,39981.0,23.0,17.0,26.0,115.0,1029.0,572.0
d945689a-dcf3-44f4-a42f-1ded6d,742.0,359.0,6.0,11.0,447.0,1206.0,14282.0,779.0,151.0,812.0,4430.0,262.0,2197.0,485.0,205.0,596.0,1781.0,498.0,158.0,600.0,704.0,872.0,1832.0,91070.0,9.0,34.0,9.0,607.0,1099.0,507.0
dd3a1c3b-6b49-4ec8-b6df-cdf22e,1667.0,417.0,90.0,285.0,3574.0,2157.0,12781.0,4167.0,346.0,1263.0,3639.0,874.0,1114.0,1295.0,348.0,1661.0,5215.0,621.0,432.0,1942.0,2566.0,1302.0,3283.0,30623.0,12.0,98.0,128.0,319.0,1207.0,583.0
e3ebe010-cd31-4b5d-8fcb-b7103b,1091.0,1101.0,220.0,45.0,1148.0,2970.0,18081.0,2211.0,513.0,1991.0,4320.0,705.0,5446.0,2557.0,830.0,655.0,3099.0,1104.0,585.0,2993.0,1956.0,1174.0,4655.0,48995.0,13.0,23.0,138.0,344.0,1753.0,1149.0
e67153d3-61af-49d6-9402-599b39,1191.0,422.0,3.0,15.0,917.0,2811.0,7566.0,1059.0,109.0,1260.0,8148.0,431.0,280.0,641.0,330.0,814.0,4595.0,243.0,190.0,775.0,8866.0,1092.0,1994.0,30825.0,8.0,102.0,37.0,454.0,630.0,872.0
e7b656bf-3c34-4ba1-bdf3-c7eefe,927.0,933.0,184.0,25.0,769.0,2929.0,6446.0,385.0,152.0,1104.0,6950.0,2854.0,565.0,227.0,199.0,294.0,2336.0,274.0,458.0,2243.0,1839.0,1637.0,2987.0,22206.0,6.0,43.0,25.0,473.0,517.0,195.0
e9d416e7-f661-400a-896e-388545,1291.0,381.0,99.0,127.0,1537.0,3503.0,12448.0,2028.0,234.0,2929.0,5701.0,137.0,2269.0,894.0,1436.0,1011.0,1572.0,524.0,613.0,2566.0,949.0,632.0,2675.0,57192.0,16.0,35.0,191.0,355.0,1321.0,454.0
eb0a53df-7620-4024-8d2d-051142,1363.0,1015.0,150.0,1057.0,4426.0,2213.0,17134.0,267.0,427.0,765.0,6689.0,297.0,620.0,362.0,207.0,635.0,4343.0,791.0,1435.0,1352.0,2202.0,1254.0,3652.0,66654.0,10.0,75.0,403.0,691.0,830.0,451.0
eb3f3494-7057-4afe-b212-e6e9a3,2680.0,708.0,11.0,3.0,766.0,1452.0,19464.0,3906.0,137.0,5894.0,5252.0,85.0,2504.0,2920.0,2443.0,116.0,1534.0,175.0,182.0,3974.0,4600.0,980.0,4486.0,118593.0,16.0,39.0,179.0,621.0,6219.0,1388.0
efc971f8-54c5-4531-a792-705ecf,2141.0,240.0,179.0,138.0,939.0,4763.0,9993.0,4186.0,405.0,2779.0,6234.0,366.0,1599.0,778.0,418.0,807.0,3377.0,826.0,590.0,2421.0,2685.0,846.0,2857.0,17802.0,13.0,54.0,28.0,267.0,1985.0,877.0
f4034d75-d533-47c2-8453-068e37,748.0,1864.0,1247.0,544.0,1235.0,9306.0,9831.0,466.0,1086.0,1781.0,5144.0,307.0,538.0,515.0,271.0,302.0,5442.0,1532.0,1733.0,1625.0,2810.0,697.0,2892.0,48009.0,10.0,497.0,69.0,1245.0,1203.0,464.0
f6c215ea-5381-4521-bb61-be8e97,1644.0,388.0,12.0,129.0,4433.0,2776.0,8922.0,2989.0,328.0,2793.0,4080.0,643.0,5084.0,1074.0,841.0,124.0,1366.0,818.0,437.0,5154.0,2706.0,527.0,3774.0,36652.0,3.0,24.0,64.0,464.0,2890.0,1399.0
fbb41c94-aabd-49cc-90b2-882c3e,2412.0,510.0,1.0,6.0,5862.0,1990.0,9745.0,4306.0,199.0,3037.0,4223.0,188.0,2476.0,1458.0,597.0,129.0,2000.0,214.0,193.0,2797.0,1766.0,1067.0,3018.0,37056.0,11.0,29.0,1.0,759.0,4118.0,1460.0
fe83e13f-9754-403b-8f74-d6caf8,1240.0,341.0,4.0,248.0,2486.0,4466.0,13290.0,1983.0,563.0,2224.0,5213.0,222.0,1907.0,1066.0,862.0,447.0,2376.0,1239.0,899.0,1060.0,7314.0,824.0,3016.0,44995.0,17.0,42.0,255.0,1026.0,1143.0,519.0
