SAMPLE_ID,APOC1,CCL19,CCND1,CD163,EIF4B,FASN,FOLR2,FOXO3,HIF1A,IDO1,IGF1R,INSR,IRS2,LAMP3,LGMN,MS4A4A,MYC,PIK3R1,PRKAB1,RBPJ,RPS6,SEPP1,SLC22A1,SLC22A3,SLC47A1,TREM2,TSC2,ULK1
40190,6.1433779691362,-1.2325602443232,4.57034603085179,5.94528883338424,7.89200677020065,5.32467235931451,2.70712028640299,4.83649592926952,8.24547708688115,4.42614370985884,4.27687351179605,3.71197512567045,1.32731127543512,2.21779779068863,6.54630991717576,3.85636503500562,6.53722061295184,7.48227739115993,4.44181468583807,6.02222404243454,10.9389724694094,7.77006080851926,-1.1363449290639,-0.535952387773137,1.50191579781731,4.29424251064258,5.27195056659529,3.49254152805216
40191,5.41344074013023,-1.70217519129788,5.27556265794493,5.16225860506774,7.34232821899967,5.72509574387571,1.82889430142807,5.79767069578533,7.56863404024751,5.14632256408727,6.28127449944224,6.43430332705129,4.3810381769511,4.65608039540725,6.11672648458776,1.99826452684321,7.61966273233155,5.07129373660731,3.00490780047383,6.41863291100074,11.4595802547646,8.11768455548576,-1.59114387890914,-3.17610637963029,0.422152943704322,4.60889191095772,5.29285700117966,3.17948942802247
40193,2.79963011605428,1.30815424421124,6.29268998371395,4.58000171985134,7.86039387065236,4.015107269311,2.59225026557286,3.97290477082604,6.19280962134503,2.61986249678072,5.64779469011374,4.33130520846179,2.36636885815653,4.04596823301576,4.49681580823513,3.35409052837809,5.96283238845904,5.00598038366492,3.50238965305973,5.7213341390237,12.1176197605456,6.35048957614804,0.184165526935782,0.108216673702483,3.32921585973906,3.49495306421794,4.09598000118359,3.04342155090542
40197,3.12905392720708,-1.45906891440741,6.01879584364317,3.11637081219524,8.06377068797862,4.92144911228619,0.44275069165369,5.96144540020201,6.61746542812633,5.1702877056722,5.13613948326036,6.15525347300052,3.01751742526896,6.32814632003492,5.32160034921612,0.83216238325704,5.87090440903598,5.63118282204912,4.54921226067639,5.58590032755818,10.3877616916909,6.42003061515361,-0.952108925687523,-1.61953358660065,0.768737003115406,1.4325549245478,5.54744172041626,4.16798491980278
40199,4.86576621813806,-1.77465088766989,5.6607713383583,5.53995932916875,8.39878830775295,6.15974204789831,2.27182354212961,5.67026538989043,7.40419177747878,2.3208717233744,5.33237932242795,6.31760287046715,3.98404822844359,3.08806025937008,5.60905340480416,2.20371909635856,6.57555166121265,5.6106979704321,3.96617390195195,6.41446767900573,10.5867054774821,8.08355218011892,-0.957514944819704,-0.675115214118979,0.547277207217469,4.71949038525505,5.87913253458015,3.91651101688319
40200,3.53106208523728,-7.25439038292126,6.71652436959456,7.10926530102374,9.31464932628767,6.65821831883723,1.73145155408208,6.53136857428865,8.0905642977809,0.129313909552792,8.18657608548037,6.44312022445661,5.7816114699986,1.8304180048831,5.85983997726971,3.08434599965266,6.20106527673713,5.90847295468687,5.79051596617483,7.03714008175517,10.473722783178,8.89783503256382,-1.52646992835806,0.751234166272618,0.795458166529301,2.67486802571571,7.80921535691196,4.32539694660573
40201,3.78486090308298,-1.53123811300219,4.25518962110035,5.45964357171875,8.36821626956028,6.28502300154296,2.18345056087718,6.28749866931629,7.22741495499875,4.66875078587623,7.10690581065336,6.78529890188436,4.51667735309079,4.07585352177577,6.24057080773953,2.28605504611154,6.95114699969139,5.91250754858358,4.03714710786577,6.31445426527453,11.0919870282829,9.5766749742448,-2.39797158213872,-2.39797158213872,-0.554697085826177,4.32433370532135,6.72994689733202,4.35612992434151
40202,2.47251068334914,-2.38547031177843,3.86703200291022,6.0766440779551,8.68013152482315,6.57582968145841,3.6430073887977,6.64766784424671,8.36344543958538,3.95560751674702,6.81614665115881,7.53754973756042,4.19689881229456,3.22923953233677,6.55390624836527,3.49885812917799,5.20647110895775,6.38510814969386,5.26904226703903,7.149738017321,8.92351592626668,8.87100275373508,-2.59959511713128,-1.88589930228792,0.716550625162076,0.838697734447866,4.92176976131494,4.34104149006987
40203,4.41214309479662,0.0810241066570278,6.42461893978418,6.14289773207188,8.945745535292,7.14767983748764,2.55126248025091,7.37135482396851,8.19359099291422,5.07524992221093,6.12656824205158,5.70983277768493,5.25666275929373,2.71049029157746,6.73061795732926,3.67948244986241,7.88968592740003,7.61346059731445,4.52708128921723,6.96136716024925,10.6689002957875,9.77904983966889,-2.11627733371659,0.493347221238836,2.76214360247413,4.34258885475831,5.48183935612004,4.24793280961217
40204,4.55982029531152,-2.47529601045893,6.78661808003525,6.18099132886461,8.46783865727872,6.6418475600776,2.10503504153058,5.1801659097284,7.41004838588343,4.71376823481146,6.96397548806188,5.55770335429941,4.90308222136196,2.53507070509933,6.17878916084933,2.77554898636695,6.86026612431985,5.25941360976691,5.21926278590165,6.08312470280974,11.087781065241,8.90587253349831,-1.65217377254301,-1.78341830582126,0.0530829618958616,3.49845653954566,5.13544493145334,4.08283030528991
40208,6.23990186030345,-2.10761884926998,3.63016622520277,5.50775999325317,6.77085013495365,3.95454997181645,2.20773659169389,4.78057090066085,7.67924478560906,1.39873381675481,3.64483782663872,4.21921915974118,2.85501429826553,2.16765915231856,5.534268686516,3.13685310553738,6.06093931640842,5.51974921771617,3.59534086084962,5.65272308298559,12.161567613226,10.3065618595026,-0.209498463289197,-0.281648249045033,1.03286237427985,5.57058113032815,4.4704964860549,2.81232789916398
